	MOL_ID	MOL_INDEX
680	MOL002222	680
681	MOL002235	681
682	MOL002268	682
683	MOL002281	683
684	MOL002295	684
685	MOL002299	685
686	MOL002322	686
687	MOL002334	687
688	MOL002335	688
689	MOL002336	689
690	MOL002338	690
691	MOL002341	691
692	MOL002361	692
693	MOL002375	693
694	MOL002377	694
695	MOL002384	695
696	MOL002388	696
697	MOL002392	697
698	MOL002395	698
699	MOL002398	699
700	MOL002399	700
701	MOL002417	701
702	MOL002430	702
703	MOL002450	703
704	MOL002451	704
705	MOL002453	705
706	MOL002454	706
707	MOL002458	707
708	MOL002459	708
709	MOL002467	709
710	MOL002468	710
711	MOL002470	711
712	MOL002471	712
713	MOL002472	713
714	MOL002474	714
715	MOL002475	715
716	MOL002476	716
717	MOL002480	717
718	MOL002486	718
719	MOL002487	719
720	MOL002490	720
721	MOL002498	721
722	MOL002499	722
723	MOL002500	723
724	MOL002501	724
725	MOL002502	725
726	MOL002504	726
727	MOL002506	727
728	MOL002507	728
729	MOL002508	729
730	MOL002512	730
731	MOL002513	731
732	MOL002514	732
733	MOL002515	733
734	MOL002520	734
735	MOL002523	735
736	MOL002525	736
737	MOL002526	737
738	MOL002527	738
739	MOL002528	739
740	MOL002529	740
741	MOL002530	741
742	MOL002532	742
743	MOL002535	743
744	MOL002536	744
745	MOL002537	745
746	MOL002540	746
747	MOL002542	747
748	MOL002543	748
749	MOL002544	749
750	MOL002546	750
751	MOL002549	751
752	MOL002554	752
753	MOL002555	753
754	MOL002556	754
755	MOL002558	755
756	MOL002559	756
757	MOL002560	757
758	MOL002561	758
759	MOL002562	759
760	MOL002563	760
761	MOL002564	761
762	MOL002565	762
763	MOL002566	763
764	MOL002568	764
765	MOL002569	765
766	MOL002571	766
767	MOL002573	767
768	MOL002575	768
769	MOL002576	769
770	MOL002579	770
771	MOL002581	771
772	MOL002644	772
773	MOL002650	773
774	MOL002651	774
775	MOL002663	775
776	MOL002670	776
777	MOL002679	777
778	MOL002683	778
779	MOL002684	779
780	MOL002686	780
781	MOL002689	781
782	MOL002691	782
783	MOL002692	783
784	MOL002694	784
785	MOL002695	785
786	MOL002696	786
787	MOL002697	787
788	MOL002699	788
789	MOL002704	789
790	MOL002710	790
791	MOL002711	791
792	MOL002712	792
793	MOL002714	793
794	MOL002717	794
795	MOL002721	795
796	MOL002722	796
797	MOL002724	797
798	MOL002730	798
799	MOL002737	799
800	MOL002744	800
801	MOL002745	801
802	MOL002746	802
803	MOL002747	803
804	MOL002757	804
805	MOL002771	805
806	MOL002773	806
807	MOL002775	807
808	MOL002776	808
809	MOL002786	809
810	MOL002816	810
811	MOL002827	811
